id,user_id,protocol,start_timestep,last_timestep,total_time,wifi_duration,privacy_score
pedestrian_2-1_3058_W_ONRKO,pedestrian_2-1_3058,WiFi,24501.0,24739.0,239.0,6226.0,0.038387407645358175
pedestrian_2-1_3119_W_CUSFW,pedestrian_2-1_3119,WiFi,20683.0,20936.0,254.0,5570.0,0.04560143626570916
pedestrian_2-1_3136_W_ZZMZA,pedestrian_2-1_3136,WiFi,21113.0,21343.0,231.0,6740.0,0.03427299703264095
pedestrian_2-1_3376_W_V2YYC,pedestrian_2-1_3376,WiFi,19897.0,20125.0,229.0,6681.0,0.034276305942224215
pedestrian_2-1_3390_W_WJMT6,pedestrian_2-1_3390,WiFi,20371.0,20507.0,137.0,6472.0,0.021168108776266997
pedestrian_2-1_3601_W_FPKIM,pedestrian_2-1_3601,WiFi,19804.0,19960.0,157.0,6609.0,0.02375548494477228
pedestrian_2-1_3664_W_OJ9SB,pedestrian_2-1_3664,WiFi,22276.0,22511.0,236.0,6250.0,0.03776
pedestrian_2-1_3764_W_V90L6,pedestrian_2-1_3764,WiFi,21205.0,21518.0,314.0,6460.0,0.04860681114551084
pedestrian_2-1_3944_W_AU82H,pedestrian_2-1_3944,WiFi,20608.0,20788.0,181.0,6190.0,0.02924071082390953
pedestrian_2-1_4127_W_R7OC4,pedestrian_2-1_4127,WiFi,21930.0,22089.0,160.0,6875.0,0.02327272727272727
pedestrian_2-1_4232_W_AFCC3,pedestrian_2-1_4232,WiFi,23540.0,23768.0,229.0,6017.0,0.03805883330563404
pedestrian_2-1_4267_W_ZANU7,pedestrian_2-1_4267,WiFi,24651.0,24860.0,210.0,5382.0,0.03901895206243032
pedestrian_2-1_4331_W_PCVBG,pedestrian_2-1_4331,WiFi,24689.0,24829.0,141.0,6910.0,0.02040520984081042
pedestrian_2-1_4788_W_CGC6C,pedestrian_2-1_4788,WiFi,19811.0,20029.0,219.0,5470.0,0.040036563071297986
pedestrian_2-1_4811_W_FZ7CM,pedestrian_2-1_4811,WiFi,19436.0,19614.0,179.0,6017.0,0.029749044374272893
