id,start_timestep,last_timestep,total_time,user_id,protocol,wifi_duration,privacy_score
pedestrian_1-3_528_W_6AEZ9,18328.0,18559.0,232.0,pedestrian_1-3_528,WiFi,6873.0,0.03375527426160337
pedestrian_1-3_5334_W_E4AHF,18206.0,18720.0,515.0,pedestrian_1-3_5334,WiFi,6995.0,0.0736240171551108
pedestrian_1-3_5354_W_JEVAD,22394.0,22581.0,188.0,pedestrian_1-3_5354,WiFi,6318.0,0.029756251978474202
pedestrian_1-3_5451_W_XMD35,21730.0,21930.0,201.0,pedestrian_1-3_5451,WiFi,6252.0,0.032149712092130515
pedestrian_1-3_547_W_5PSPW,22733.0,23165.0,433.0,pedestrian_1-3_547,WiFi,5883.0,0.07360190379058304
pedestrian_1-3_5475_W_QFGYN,20749.0,20977.0,229.0,pedestrian_1-3_5475,WiFi,6758.0,0.03388576501923646
pedestrian_1-3_5537_W_Y1AV2,18298.0,18937.0,640.0,pedestrian_1-3_5537,WiFi,6903.0,0.0927133130522961
pedestrian_1-3_5550_W_BVRTJ,20579.0,20762.0,184.0,pedestrian_1-3_5550,WiFi,5472.0,0.033625730994152045
pedestrian_1-3_5578_W_C17AT,22163.0,22402.0,240.0,pedestrian_1-3_5578,WiFi,7019.0,0.03419290497221827
pedestrian_1-3_635_W_07EOQ,18441.0,18645.0,205.0,pedestrian_1-3_635,WiFi,6760.0,0.030325443786982247
pedestrian_1-3_743_W_14G2K,23472.0,23641.0,170.0,pedestrian_1-3_743,WiFi,5835.0,0.02913453299057412
pedestrian_1-3_80_W_AKOWU,21291.0,21576.0,286.0,pedestrian_1-3_80,WiFi,6418.0,0.044562168899968835
pedestrian_1-3_809_W_OGOQN,24834.0,25089.0,256.0,pedestrian_1-3_809,WiFi,6025.0,0.042489626556016596
pedestrian_1-3_870_W_WCLC5,21978.0,22204.0,227.0,pedestrian_1-3_870,WiFi,5749.0,0.03948512784832145
pedestrian_1-3_874_W_GC5IS,24729.0,24932.0,204.0,pedestrian_1-3_874,WiFi,6253.0,0.03262434031664801
pedestrian_1-3_990_W_L3FMD,19608.0,19919.0,312.0,pedestrian_1-3_990,WiFi,6262.0,0.049824337272436924
pedestrian_2-1_1248_W_H4O8K,19163.0,19341.0,179.0,pedestrian_2-1_1248,WiFi,6790.0,0.026362297496318115
pedestrian_2-1_1463_W_4T2MR,19115.0,19477.0,363.0,pedestrian_2-1_1463,WiFi,6223.0,0.058331994215008835
pedestrian_2-1_1609_W_HP8YZ,19125.0,19530.0,406.0,pedestrian_2-1_1609,WiFi,6168.0,0.06582360570687419
pedestrian_2-1_1724_W_YAKFZ,19787.0,20409.0,623.0,pedestrian_2-1_1724,WiFi,5414.0,0.11507203546361286
pedestrian_2-1_1878_W_76ZNN,23633.0,23825.0,193.0,pedestrian_2-1_1878,WiFi,5633.0,0.0342623823894905
pedestrian_2-1_2028_W_VA5FT,20507.0,20670.0,164.0,pedestrian_2-1_2028,WiFi,5930.0,0.027655986509274873
pedestrian_2-1_2045_W_CUDUC,24950.0,25200.0,251.0,pedestrian_2-1_2045,WiFi,5957.0,0.04213530300486822
pedestrian_2-1_213_W_AUAEL,24382.0,24681.0,300.0,pedestrian_2-1_213,WiFi,6509.0,0.04609002919035182
pedestrian_2-1_2136_W_JE6P4,23557.0,23718.0,162.0,pedestrian_2-1_2136,WiFi,6315.0,0.025653206650831355
pedestrian_2-1_2161_W_C9C1R,20386.0,20577.0,192.0,pedestrian_2-1_2161,WiFi,5470.0,0.03510054844606947
pedestrian_2-1_2293_W_OMD3F,19212.0,19461.0,250.0,pedestrian_2-1_2293,WiFi,6735.0,0.03711952487008166
pedestrian_2-1_2384_W_6DAZA,24245.0,24458.0,214.0,pedestrian_2-1_2384,WiFi,6084.0,0.03517422748191979
pedestrian_2-1_2486_W_NSVVM,24078.0,24500.0,423.0,pedestrian_2-1_2486,WiFi,5420.0,0.07804428044280443
pedestrian_2-1_2911_W_S58MB,21660.0,21868.0,209.0,pedestrian_2-1_2911,WiFi,5508.0,0.03794480755265069
pedestrian_2-1_2925_W_3HYIW,24613.0,24802.0,190.0,pedestrian_2-1_2925,WiFi,6246.0,0.030419468459814282
pedestrian_2-1_2987_W_3Z00Y,20437.0,20571.0,135.0,pedestrian_2-1_2987,WiFi,5511.0,0.024496461622210124
pedestrian_2-1_3058_W_ONRKO,24501.0,24739.0,239.0,pedestrian_2-1_3058,WiFi,6226.0,0.038387407645358175
pedestrian_2-1_3119_W_YTEAK,22654.0,23514.0,861.0,pedestrian_2-1_3119,WiFi,5570.0,0.15457809694793537
pedestrian_2-1_3136_W_7051H,19235.0,19548.0,314.0,pedestrian_2-1_3136,WiFi,6740.0,0.04658753709198813
pedestrian_2-1_3376_W_V2YYC,19897.0,20125.0,229.0,pedestrian_2-1_3376,WiFi,6681.0,0.034276305942224215
pedestrian_2-1_3390_W_WJMT6,20371.0,20507.0,137.0,pedestrian_2-1_3390,WiFi,6472.0,0.021168108776266997
pedestrian_2-1_3601_W_N7ED3,19006.0,19731.0,726.0,pedestrian_2-1_3601,WiFi,6609.0,0.10985020426690877
pedestrian_2-1_3664_W_GA2HI,19066.0,19686.0,621.0,pedestrian_2-1_3664,WiFi,6250.0,0.09936
pedestrian_2-1_3764_W_V90L6,21205.0,21518.0,314.0,pedestrian_2-1_3764,WiFi,6460.0,0.04860681114551084
pedestrian_2-1_3944_W_I029U,19011.0,19789.0,779.0,pedestrian_2-1_3944,WiFi,6190.0,0.1258481421647819
pedestrian_2-1_4127_W_RD0V5,19229.0,19692.0,464.0,pedestrian_2-1_4127,WiFi,6875.0,0.06749090909090909
pedestrian_2-1_4232_W_JB2X4,22894.0,23127.0,234.0,pedestrian_2-1_4232,WiFi,6017.0,0.03888981219877015
pedestrian_2-1_4267_W_ZANU7,24651.0,24860.0,210.0,pedestrian_2-1_4267,WiFi,5382.0,0.03901895206243032
pedestrian_2-1_4331_W_PCVBG,24689.0,24829.0,141.0,pedestrian_2-1_4331,WiFi,6910.0,0.02040520984081042
pedestrian_2-1_4788_W_CGC6C,19811.0,20029.0,219.0,pedestrian_2-1_4788,WiFi,5470.0,0.040036563071297986
pedestrian_2-1_4811_W_7PU5G,19399.0,20172.0,774.0,pedestrian_2-1_4811,WiFi,6017.0,0.1286355326574705
pedestrian_2-1_4909_W_H1XI8,21695.0,22769.0,1075.0,pedestrian_2-1_4909,WiFi,6327.0,0.16990674885411727
pedestrian_2-1_4930_W_9GPCC,24289.0,24675.0,387.0,pedestrian_2-1_4930,WiFi,6676.0,0.057968843618933494
pedestrian_2-1_499_W_IYC7L,24360.0,24558.0,199.0,pedestrian_2-1_499,WiFi,5415.0,0.03674976915974146
pedestrian_2-1_5001_W_7NNEO,21295.0,21885.0,591.0,pedestrian_2-1_5001,WiFi,6915.0,0.08546637744034707
pedestrian_2-1_5067_W_BPMBI,19942.0,20084.0,143.0,pedestrian_2-1_5067,WiFi,5421.0,0.026378896882494004
pedestrian_2-1_5419_W_42HHK,20016.0,20450.0,435.0,pedestrian_2-1_5419,WiFi,6991.0,0.062222857960234586
pedestrian_2-1_5435_W_L2S2F,24102.0,24387.0,286.0,pedestrian_2-1_5435,WiFi,7013.0,0.04078140596035933
pedestrian_2-1_5450_W_3BIXP,19814.0,20202.0,389.0,pedestrian_2-1_5450,WiFi,5987.0,0.06497411057290797
pedestrian_2-1_5552_W_D1NCZ,21007.0,21262.0,256.0,pedestrian_2-1_5552,WiFi,5798.0,0.04415315626077958
pedestrian_2-1_5799_W_JM1W9,23195.0,23595.0,401.0,pedestrian_2-1_5799,WiFi,6017.0,0.06664450722951637
pedestrian_2-1_5841_W_SVSG4,21750.0,22006.0,257.0,pedestrian_2-1_5841,WiFi,6190.0,0.04151857835218094
pedestrian_2-1_600_W_WSMWN,21124.0,21380.0,257.0,pedestrian_2-1_600,WiFi,5583.0,0.04603259896113201
pedestrian_2-1_6021_W_QHQI0,20480.0,21590.0,1111.0,pedestrian_2-1_6021,WiFi,7046.0,0.15767811524269087
pedestrian_2-1_6130_W_ZSAVT,22572.0,22850.0,279.0,pedestrian_2-1_6130,WiFi,6616.0,0.04217049576783555
pedestrian_2-1_6236_W_XTFPY,24115.0,24391.0,277.0,pedestrian_2-1_6236,WiFi,6636.0,0.041742013261000604
pedestrian_2-1_6256_W_CL34T,22448.0,22691.0,244.0,pedestrian_2-1_6256,WiFi,6665.0,0.03660915228807202
pedestrian_2-1_6274_W_M58ZI,18535.0,18887.0,353.0,pedestrian_2-1_6274,WiFi,6666.0,0.052955295529552956
pedestrian_2-1_63_W_7NL2E,18187.0,18473.0,287.0,pedestrian_2-1_63,WiFi,7014.0,0.04091816367265469
pedestrian_2-1_804_W_PET4I,24483.0,24770.0,288.0,pedestrian_2-1_804,WiFi,5915.0,0.048689771766694846
pedestrian_2-1_842_W_JAJO4,19482.0,19821.0,340.0,pedestrian_2-1_842,WiFi,5914.0,0.05749070003381806
