id1,id2,start_timestep,last_timestep,duration,user_id,ideal_duration,protocol_id1,protocol_id2,privacy_score
TLB1NNQQ1E9Z,5XKH2LF93AEQ,18685.25,18748.75,63.5,pedestrian_1-1-pt_5115,714.75,lte,wifi,0.08884225253585169
55G0R4FRZGN0,HV5FYZJLO9GV,18685.25,18743.5,58.25,pedestrian_1-1-pt_7839,714.75,lte,wifi,0.08149702693249387
SOYFY0IUXLII,43NV5VXHTUD5,18686.25,18753.25,67.0,pedestrian_1-1-pt_1714,109.25,wifi,lte,0.6132723112128147
UEJL0H1RQ5XP,DQ26VFMOU03R,18687.25,18759.5,72.25,pedestrian_1-2_848,214.75,lte,wifi,0.33643771827706637
FWFNF46XIV9B,440HZ2ZN8HLW,18691.25,18733.25,42.0,pedestrian_2-1_213,406.25,wifi,lte,0.10338461538461538
I37SMH8V6OSV,3OHCT057MBIO,18692.25,18738.5,46.25,pedestrian_1-3_3249,212.25,wifi,lte,0.21790341578327443
T7DSBRSIB74Y,E6A6EA4O2AQ9,18693.25,18739.25,46.0,pedestrian_1-3_906,257.0,lte,wifi,0.17898832684824903
7CP13J2UHT9J,CFY0F2B913IZ,18694.25,18739.5,45.25,pedestrian_1-1-pt_8184,106.75,lte,wifi,0.4238875878220141
CSLQ79KUPVY6,C99BA5FJ2R80,18695.25,18754.25,59.0,pedestrian_1-1-pt_4517,704.75,lte,wifi,0.0837176303653778
9TXQIJWTGLO2,D3C4DF9ITC7B,18700.25,18733.75,33.5,pedestrian_1-1-veh_602,242.5,wifi,lte,0.13814432989690723
