id1,id2,start_timestep,last_timestep,duration,user_id,ideal_duration,protocol_id1,protocol_id2,privacy_score
ZWCCPWZ81U24,BH85VT2XI8B3,19275.25,19366.75,91.5,pedestrian_1-3_448,124.75,lte,wifi,0.7334669338677354
ALOE6M10API9,6G5E5Z5MZ95M,19278.25,19391.5,113.25,pedestrian_1-1-pt_2677,121.75,lte,wifi,0.9301848049281314
VSB0XXX43GEV,F3GDXUT389VV,19278.25,19338.25,60.0,pedestrian_1-3_360,61.25,wifi,lte,0.9795918367346939
NQ97QGK4Z742,I9U2II2BL3SF,19279.25,19286.5,7.25,pedestrian_1-2_4886,7.25,wifi,lte,1.0
FTH3LBIJYE1G,7ZRQCJLNQPSQ,19279.25,19392.0,112.75,pedestrian_1-1-pt_3595,120.75,wifi,lte,0.9337474120082816
6JSVWWAMG3XU,YIR16RJYSXOD,19282.25,19342.25,60.0,pedestrian_1-2_4333,117.75,wifi,lte,0.5095541401273885
9751YWK6ZUP9,GZL242FXEUXW,19283.25,19396.75,113.5,pedestrian_1-2_2653,116.75,lte,wifi,0.9721627408993576
QWWG37RIRMUJ,30NZHJSCHNBH,19284.25,19395.5,111.25,pedestrian_1-1-pt_1121,115.75,lte,wifi,0.9611231101511879
TXAHP0KLM14P,2VMR0946Z922,19284.25,19399.5,115.25,pedestrian_1-3_1374,115.75,lte,wifi,0.9956803455723542
F0IDMD2H2OY6,5YVLA82FGYPT,19285.25,19399.25,114.0,pedestrian_1-1-pt_1903,114.75,lte,wifi,0.9934640522875817
TK01CRF0NSI9,YKQ0L6XL1YER,19285.25,19341.25,56.0,pedestrian_1-1-pt_17,114.75,lte,wifi,0.4880174291938998
TBO8DYAY2O4U,SEO6G3PAG2Q2,19285.25,19347.25,62.0,pedestrian_2-1_804,114.75,wifi,lte,0.5403050108932462
XIW1A3TD8IQR,X0ACFMXB97IJ,19286.25,19395.25,109.0,pedestrian_2-1_842,113.75,wifi,lte,0.9582417582417583
32H8ZHVB57EU,I2IH438L5BKP,19286.25,19396.75,110.5,pedestrian_1-1-pt_3300,113.75,lte,wifi,0.9714285714285714
H93T57LMMOIA,ONY640RR6WOP,19287.25,19359.75,72.5,pedestrian_1-1-veh_856,112.75,lte,wifi,0.6430155210643016
WVKR4KN2K2FC,3REY79KR1OTN,19287.25,19400.0,112.75,pedestrian_1-3_4390,112.75,wifi,lte,1.0
DI7TGW64AY4F,8XB6E5AH7DJC,19287.25,19360.75,73.5,pedestrian_1-1-pt_3067,112.75,lte,wifi,0.6518847006651884
FQUN0S32X65E,500ZMPIWJOKM,19288.25,19393.0,104.75,pedestrian_1-1-pt_247,111.75,lte,wifi,0.9373601789709173
K9KMJC2Q069V,XZJZC6P2BS3K,19288.25,19400.0,111.75,pedestrian_1-1-pt_3571,111.75,lte,wifi,1.0
CNIKYZ7TW8ZI,IOHKH4AAUOQ6,19289.25,19395.75,106.5,pedestrian_1-3_624,110.75,wifi,lte,0.9616252821670429
7MHBNPG1DM28,WVOHEFP93OX7,19292.25,19391.75,99.5,pedestrian_1-3_2171,107.75,lte,wifi,0.9234338747099768
2CLVP5KX7D6L,MRT854V0NLRX,19296.25,19391.0,94.75,pedestrian_2-1_4968,103.75,lte,wifi,0.9132530120481928
C6E4DMP6S56S,L8GPFBL11BKF,19297.25,19380.75,83.5,pedestrian_1-1-pt_2494,102.75,wifi,lte,0.8126520681265207
WK8H3Z0XBTLT,1M9GGMASSC7O,19298.25,19397.25,99.0,pedestrian_1-3_2424,101.75,wifi,lte,0.972972972972973
TPK0DP5JHOO4,REEI1GHBZ6VI,19298.25,19361.75,63.5,pedestrian_1-3_3245,101.75,lte,wifi,0.6240786240786241
TVTK59P270ZR,ZNFIYYNSSGBG,19299.25,19399.25,100.0,pedestrian_1-1-pt_6479,100.75,wifi,lte,0.9925558312655087
DQ7XQONYX284,BR79O0CIKGRS,19302.25,19392.5,90.25,pedestrian_1-1-pt_0,97.75,lte,wifi,0.9232736572890026
BPV9XW18BZJY,JEOCNX6JTQGH,19302.25,19394.0,91.75,pedestrian_1-3_2746,97.75,lte,wifi,0.9386189258312021
LYBONCEOCALV,BCIT0DF4JNHV,19302.25,19376.75,74.5,pedestrian_1-1-pt_2880,97.75,wifi,lte,0.7621483375959079
88JN7V5KTRV4,AKCN2R1KRH5F,19304.25,19368.0,63.75,pedestrian_1-1-pt_8735,95.75,lte,wifi,0.6657963446475196
T4A8GXMY21HZ,FQRDX74RLS81,19305.25,19400.0,94.75,pedestrian_1-2_3511,94.75,wifi,lte,1.0
KKJH2SYRRSIZ,MU7Z4TU5BXPE,19306.25,19391.0,84.75,pedestrian_1-1-pt_7959,93.75,lte,wifi,0.904
MOACOD4QFBYA,VNFFPGJ97J2B,19306.25,19388.5,82.25,pedestrian_1-3_941,93.75,lte,wifi,0.8773333333333333
8JV1KU8ZF5G2,JATI85AXT8FB,19307.25,19394.25,87.0,pedestrian_1-3_5073,92.75,wifi,lte,0.9380053908355795
EXZLK0AUK5YW,91XEZFXARPJE,19309.25,19398.0,88.75,pedestrian_1-2_1837,90.75,lte,wifi,0.977961432506887
ISVA57LMZGKH,T9406TYZD2LN,19309.25,19397.0,87.75,pedestrian_1-3_5503,90.75,lte,wifi,0.9669421487603306
RAPOH7SWGTSC,F1VZYM9BK32D,19309.25,19378.0,68.75,pedestrian_1-1-pt_150,90.75,lte,wifi,0.7575757575757576
6VNPS14GEQAC,CA0R1KT0X5NX,19311.25,19394.25,83.0,pedestrian_1-2_4950,88.75,wifi,lte,0.9352112676056338
FUKTUSZKBY14,MRYQ7LACBSO0,19312.25,19351.5,39.25,pedestrian_1-1-pt_4529,87.75,lte,wifi,0.4472934472934473
2H5UIOFWGCFX,6M33TU64LNWA,19312.25,19394.75,82.5,pedestrian_2-1_2848,87.75,wifi,lte,0.9401709401709402
28GTYE91AG84,EUZPXE0JSNXN,19313.25,19376.5,63.25,pedestrian_1-1-pt_2230,86.75,lte,wifi,0.729106628242075
LCJGEBC7NFDP,VDX62OW9DNBC,19314.25,19369.75,55.5,pedestrian_2-1_4976,85.75,lte,wifi,0.6472303206997084
IG1RJIHSPEDO,,19315.25,19356.0,40.75,pedestrian_1-2_3651,84.75,wifi,,0.4808259587020649
OA6PH823SOKP,D7RRT7NQEH9V,19316.25,19398.75,82.5,pedestrian_1-2_3697,83.75,lte,wifi,0.9850746268656716
1T9GSB21HY46,SSOMXHZGYNWA,19316.25,19394.5,78.25,pedestrian_1-1-pt_3744,83.75,lte,wifi,0.9343283582089552
YC5KFTKI4MKL,5R8BJC7Q4OFO,19317.25,19400.0,82.75,pedestrian_1-3_547,82.75,lte,wifi,1.0
5RVM77YAFWXR,QZGRPFB03YRG,19317.25,19361.75,44.5,pedestrian_1-1-pt_2544,82.75,lte,wifi,0.5377643504531722
Q8G6V2876NCY,4MRXDTCSUD5L,19318.25,19382.5,64.25,pedestrian_1-1-pt_3207,81.75,lte,wifi,0.7859327217125383
LGS2QA6DDXA8,YHH92NFWSAPT,19318.25,19392.0,73.75,pedestrian_1-1-pt_8247,81.75,lte,wifi,0.9021406727828746
SGSZZ0YL3WPA,4P1FAIBQIG5O,19321.25,19395.25,74.0,pedestrian_2-1_1407,78.75,lte,wifi,0.9396825396825397
KI9POVYX5TT4,7CFECMFMJKM2,19322.25,19395.75,73.5,pedestrian_1-1-pt_2549,77.75,wifi,lte,0.9453376205787781
R9FFJU1MCVOD,7CXL3Y3PQPC8,19322.25,19394.5,72.25,pedestrian_1-3_648,77.75,lte,wifi,0.9292604501607717
CTNNUWYEBUWM,PHIINL634DZZ,19323.25,19393.0,69.75,pedestrian_1-2_4249,76.75,lte,wifi,0.9087947882736156
AU017LFZZ2UE,XKHGR1IWFQC0,19323.25,19390.75,67.5,pedestrian_1-1-pt_3906,76.75,lte,wifi,0.8794788273615635
N1X46HNSEEGV,LBDNO13GZS5C,19324.25,19394.75,70.5,pedestrian_1-1-pt_2523,75.75,wifi,lte,0.9306930693069307
OBOS1UN1I8KT,N7LAQBW92ELS,19325.25,19399.25,74.0,pedestrian_1-1-pt_5481,74.75,lte,wifi,0.9899665551839465
VCHA79Z240AS,EMBHXM8VP64L,19326.25,19363.5,37.25,pedestrian_1-2_5369,37.25,wifi,lte,1.0
1EGSRZN9BCNM,,19326.25,19361.25,35.0,pedestrian_1-1-pt_667,73.75,wifi,,0.4745762711864407
7OSXLQDTC2HL,9T9NP5ZCHC4Y,19328.25,19392.75,64.5,pedestrian_2-1_6204,71.75,wifi,lte,0.8989547038327527
BPUY15C9GJ8B,EG680HQ8VDAY,19329.25,19397.5,68.25,pedestrian_1-2_4939,70.75,wifi,lte,0.9646643109540636
ML54CE8NB0W8,BUQXTB5B1UVJ,19329.25,19393.25,64.0,pedestrian_1-1-pt_4368,70.75,wifi,lte,0.9045936395759717
3ZDKVTC9GYO4,PBY20932M6KQ,19330.25,19393.75,63.5,pedestrian_1-1-pt_4785,69.75,wifi,lte,0.910394265232975
ZNYKJJ0ISI9Z,,19336.25,19398.75,62.5,pedestrian_1-3_4828,63.75,lte,,0.9803921568627451
178HK6M7S3N9,U0E7R86V3PW5,19337.25,19400.0,62.75,pedestrian_1-3_4072,62.75,lte,wifi,1.0
PY3D45P44BTP,2UQS23O78EK7,19338.25,19400.0,61.75,pedestrian_1-2_2340,61.75,lte,wifi,1.0
1OBI7APT79A3,NOV1RZSVFROF,19339.25,19382.75,43.5,pedestrian_1-1-pt_3624,60.75,wifi,lte,0.7160493827160493
6SV3NL7B422K,647U9VFSLA6S,19339.25,19395.0,55.75,pedestrian_1-3_3581,60.75,wifi,lte,0.9176954732510288
GYPRGQKUAWA5,5BEQCK5NPG3X,19340.25,19400.0,59.75,pedestrian_1-1-pt_1390,59.75,lte,wifi,1.0
61ZU3UZRYC8X,K53FFCEGCWO6,19342.25,19398.0,55.75,pedestrian_1-1-pt_3135,57.75,lte,wifi,0.9653679653679653
7X0B1GCUP41U,2QKHN1XLPMZQ,19346.25,19400.0,53.75,pedestrian_1-2_4266,53.75,wifi,lte,1.0
WLVUVKEYCIZH,8IPQIYB8EWHY,19346.25,19391.5,45.25,pedestrian_1-1-pt_1304,53.75,lte,wifi,0.8418604651162791
CJ6B3E7ZCNY2,FU5VHOPHI9KE,19346.25,19392.25,46.0,pedestrian_1-1-pt_7441,53.75,wifi,lte,0.8558139534883721
DTCXZXZIH2NJ,3FQ8P2U32J43,19348.25,19393.75,45.5,pedestrian_1-2_5245,51.75,lte,wifi,0.8792270531400966
RCMPM045LKJ8,F0LLTY0YXVZE,19348.25,19386.75,38.5,pedestrian_1-3_3497,51.75,wifi,lte,0.7439613526570048
QOUS7X5VYNEB,42IIKKYMFCGB,19348.25,19400.0,51.75,pedestrian_1-2_475,51.75,wifi,lte,1.0
ZKFGJGVV95DF,KFGSFRGC8OKU,19356.25,19400.0,43.75,pedestrian_1-3_3809,43.75,wifi,lte,1.0
