id1,id2,start_timestep,last_timestep,duration,user_id,ideal_duration,protocol_id1,protocol_id2,privacy_score
GJGJ54SCHLXP,IN29P3P2AE2X,18001.25,18193.5,192.25,pedestrian_1-2_1990,196.5,wifi,lte,0.9783715012722646
GLVDUMS5NPM6,TKJS90SEYF1R,18001.25,18159.25,158.0,pedestrian_1-3_2374,165.75,wifi,lte,0.9532428355957768
PLER7W33613Y,7S7VXI6QPAWH,18001.25,18364.0,362.75,pedestrian_1-1-pt_7251,362.75,wifi,lte,1.0
HK2I9BRODF4N,C28ZQ3WSBD8V,18003.25,18052.5,49.25,pedestrian_1-3_2410,49.25,lte,wifi,1.0
IL0TOSIZATEO,GN60IZZHIYTO,18003.25,18352.5,349.25,pedestrian_1-1-pt_8637,360.75,wifi,lte,0.9681219681219682
R69UJBJY5O0T,ZURHIZ5IPCI8,18004.25,18246.75,242.5,pedestrian_1-1-veh_105,250.25,lte,wifi,0.9690309690309691
6UPMGCJC0Q4N,8MU0U68RWA1O,18006.25,18325.0,318.75,pedestrian_1-2_3838,327.25,lte,wifi,0.974025974025974
IOPYL30H38RJ,77FGUYBO7J8M,18008.25,18116.25,108.0,pedestrian_1-3_4838,113.5,wifi,lte,0.9515418502202643
S3BDRXV0BMWL,ZDTCCJYPAD5E,18008.25,18227.75,219.5,pedestrian_1-1-veh_886,224.25,lte,wifi,0.9788182831661093
O0UCADZHEO8I,QD861X3P8BAJ,18009.25,18185.25,176.0,pedestrian_1-1-pt_8795,188.25,wifi,lte,0.9349269588313412
ZCFWUA30NN6P,1RXMBGSYLIQG,18010.25,18127.0,116.75,pedestrian_1-3_3320,123.0,wifi,lte,0.9491869918699187
9W368RTXZMIS,PUZHCDHOL0T7,18010.25,18209.25,199.0,pedestrian_1-3_2221,199.5,wifi,lte,0.9974937343358395
5C5NHSBFZVPF,RUIG7Q99KHNK,18011.25,18168.5,157.25,pedestrian_1-2_5770,159.75,lte,wifi,0.9843505477308294
ZCUGJ5PPXB8Y,0MGTRIS86ZNL,18013.25,18358.75,345.5,pedestrian_1-1-pt_8143,350.75,lte,wifi,0.985032074126871
2LEM2BUR20FX,5KQ913700IL2,18014.25,18356.75,342.5,pedestrian_1-1-pt_2382,349.75,wifi,lte,0.9792709077912795
MFP7RPYM6EOU,VO4H0OWQUWTS,18016.25,18358.5,342.25,pedestrian_1-1-pt_6269,347.75,lte,wifi,0.9841840402588066
OWCZX3MYAAHC,PAJKBO4Z2TSU,18020.25,18155.75,135.5,pedestrian_1-1-pt_8365,343.75,lte,wifi,0.3941818181818182
V2OY1LPY3UOM,JB6DT1B0L8T2,18022.25,18101.25,79.0,pedestrian_1-3_5363,85.75,wifi,lte,0.9212827988338192
QTQCZPK6ACPM,7MSPB4P3IZRB,18023.25,18364.0,340.75,pedestrian_2-1_3545,340.75,wifi,lte,1.0
2J6TJCVHIOW3,DB4HW1V9NHT5,18027.25,18186.25,159.0,pedestrian_1-3_537,160.5,wifi,lte,0.9906542056074766
GSZDF42GV74H,G4G475PNF8RH,18029.25,18165.75,136.5,pedestrian_1-1-pt_8810,334.75,lte,wifi,0.4077669902912621
ECMGHSA2NVB9,S6SVAND3JOMW,18029.25,18357.25,328.0,pedestrian_1-1-pt_1773,334.75,wifi,lte,0.9798356982823002
X212F7T6EFTN,3QTN7UDWBEK9,18030.25,18358.5,328.25,pedestrian_1-1-pt_3251,333.75,lte,wifi,0.9835205992509364
EEDOMJ1TQUUC,GYX33A8HBXCK,18031.25,18112.75,81.5,pedestrian_1-3_2018,81.75,lte,wifi,0.9969418960244648
10OQ35R5CC3E,MFQSNU5Z6R5S,18031.25,18212.75,181.5,pedestrian_1-1-pt_7054,187.75,lte,wifi,0.966711051930759
4RS74NCBSIE7,G71UU4IJNVX2,18031.25,18216.5,185.25,pedestrian_2-1_3320,193.5,lte,wifi,0.9573643410852714
04ZGFDC1QXOC,J4YGPQ90FAWX,18032.25,18095.5,63.25,pedestrian_1-1-veh_546,71.75,lte,wifi,0.8815331010452961
SDR5S0U1LYMW,2Z0SY6TF0AFA,18032.25,18362.25,330.0,pedestrian_1-1-pt_3431,331.75,lte,wifi,0.9947249434815373
RC90XJ5JL61V,05LD9NV7P2RN,18036.25,18172.75,136.5,pedestrian_1-2_609,136.75,wifi,lte,0.9981718464351006
8889U6CTX14P,YSGGL0MWNGF9,18038.25,18098.5,60.25,pedestrian_1-1-pt_5078,189.0,lte,wifi,0.3187830687830688
2SF7QJRND2YJ,4AKXINNEVQ2L,18041.25,18065.0,23.75,pedestrian_1-2_4734,23.75,wifi,lte,1.0
FZX5EBBP4PHO,H12NXMSNQJ9G,18041.25,18161.0,119.75,pedestrian_1-2_285,122.0,wifi,lte,0.9815573770491803
NQ6G0GISD0Y7,O1R8DKST0UKU,18045.25,18109.0,63.75,pedestrian_1-1-pt_8289,66.5,wifi,lte,0.9586466165413534
QRVPZE924GO2,L8IHR7ET6VCS,18046.25,18207.75,161.5,pedestrian_1-1-pt_6561,170.25,wifi,lte,0.9486049926578561
ZPB1MUNHYFQM,YDU7VRXP0TE3,18048.25,18220.75,172.5,pedestrian_1-3_1790,177.25,lte,wifi,0.9732016925246827
M58HJY05EAN2,XC1VCVXLEH8F,18049.25,18362.75,313.5,pedestrian_1-1-pt_1673,314.75,wifi,lte,0.9960285941223193
14ETQQCDVM2Q,YOMPUZ1VEDGW,18052.25,18316.5,264.25,pedestrian_1-2_638,266.75,wifi,lte,0.9906279287722587
JFNZS4WYI5TI,WHOQR4208R8Q,18052.25,18322.75,270.5,pedestrian_1-2_3940,279.25,lte,wifi,0.9686660698299016
7N8FQKNAH8FQ,HG89YIXBSSF9,18053.25,18166.0,112.75,pedestrian_2-1_1662,118.0,wifi,lte,0.9555084745762712
YUD9J9X3EGZH,5W17BOUPCRFE,18054.25,18356.25,302.0,pedestrian_1-1-pt_2498,309.75,lte,wifi,0.9749798224374495
I7PYL8UYMGU0,BS7SFQ3FB83B,18056.25,18115.75,59.5,pedestrian_1-3_2454,73.25,wifi,lte,0.8122866894197952
SYPE55FF9YJQ,63NEPBZ2Z9OV,18058.25,18067.5,9.25,pedestrian_1-2_3821,9.25,wifi,lte,1.0
SB7KPHMJ4J37,63YCHL2EXUTJ,18060.25,18238.0,177.75,pedestrian_1-3_268,189.25,lte,wifi,0.9392338177014531
KLD0BJIC4YK9,UJ0ZGZFNFOG4,18061.25,18203.25,142.0,pedestrian_1-2_5791,146.5,wifi,lte,0.9692832764505119
KCFRZUK1F72R,NXYWF4SI6D7N,18064.25,18335.25,271.0,pedestrian_1-2_1741,299.75,lte,wifi,0.9040867389491243
8NKNT5PZ8WGF,3VAGBBQRMSS0,18064.25,18134.0,69.75,pedestrian_1-2_2171,220.0,lte,wifi,0.3170454545454545
QTS0MFALNCZQ,RWSFB9N2EGWF,18065.25,18304.25,239.0,pedestrian_1-1-pt_4187,298.75,lte,wifi,0.8
0C9ID4ZFCGR5,7PP8VVVVUM4Y,18066.25,18328.5,262.25,pedestrian_1-3_90,297.75,wifi,lte,0.8807724601175483
0IUVDKALXIJA,QYB1RGGIX0MC,18069.25,18360.5,291.25,pedestrian_1-1-pt_2201,294.75,wifi,lte,0.9881255301102629
Z3M8HU45TARS,EU95BPHY94HE,18069.25,18315.75,246.5,pedestrian_1-2_4454,247.75,wifi,lte,0.9949545913218971
M9OALWPSTUS0,FE9SUMHQAB61,18070.25,18356.25,286.0,pedestrian_1-1-veh_790,293.75,wifi,lte,0.9736170212765958
1RF647LDUQRQ,TISI89YVL74D,18072.25,18234.0,161.75,pedestrian_2-1_4638,291.75,wifi,lte,0.5544130248500428
MQ2JUN2LXMFY,7CIW6QSPGHB4,18073.25,18255.5,182.25,pedestrian_1-1-veh_668,186.25,wifi,lte,0.978523489932886
YM66U8XIXKFX,EE9LC1SIOCDO,18073.25,18355.75,282.5,pedestrian_1-1-pt_4658,290.75,wifi,lte,0.9716251074806534
JXJXOH9TWW5G,DLZP1H2WZATP,18073.25,18348.25,275.0,pedestrian_1-1-pt_2770,277.75,wifi,lte,0.9900990099009901
5QIEG117JETS,1YDS86IRAJ1G,18075.25,18360.25,285.0,pedestrian_1-1-pt_5139,288.75,lte,wifi,0.987012987012987
YQIBPT5SEIMC,IQEZVVC4T6L1,18076.25,18355.75,279.5,pedestrian_1-1-pt_4472,287.75,wifi,lte,0.9713292788879235
T22YUP9IOR7E,Q49AMK9XAG67,18078.25,18170.25,92.0,pedestrian_1-3_3834,92.75,lte,wifi,0.9919137466307277
BG3VUIH8Q7IJ,IQ1P68NSQ42U,18078.25,18358.5,280.25,pedestrian_1-1-pt_255,285.75,lte,wifi,0.9807524059492564
CJFWWRJ1LL0X,T57E0GWFQZGD,18083.25,18181.5,98.25,pedestrian_1-1-pt_2835,280.75,wifi,lte,0.3499554764024933
D8HSSNEE0EV1,GVWDKXXO8H6W,18085.25,18344.0,258.75,pedestrian_1-2_4327,259.75,lte,wifi,0.9961501443695862
52K1IAHXLKX9,66T4YIKUQ891,18092.25,18357.0,264.75,pedestrian_1-2_1559,271.75,lte,wifi,0.9742410303587856
0BH4H96BGK8U,GSC58NCDOUJF,18094.25,18362.0,267.75,pedestrian_1-1-pt_8618,269.75,wifi,lte,0.9925857275254866
GZZ9Z8YG6AST,393IATS3D90N,18097.25,18357.0,259.75,pedestrian_1-1-pt_4026,266.75,wifi,lte,0.9737582005623243
RKRNBPLN3XAQ,YBX3IDG6R7ZH,18100.25,18178.75,78.5,pedestrian_1-3_1010,85.5,lte,wifi,0.9181286549707602
0VR5LXP5OWIP,5ZW41NI7XOJ9,18102.25,18264.75,162.5,pedestrian_1-3_3480,168.25,lte,wifi,0.9658246656760773
HI0YM4N8KZJF,OXEW1Y5XFJBC,18102.25,18261.0,158.75,pedestrian_1-2_5518,234.5,lte,wifi,0.6769722814498934
K86AZW47YIKA,P4MKV2MKPDX8,18102.25,18251.0,148.75,pedestrian_1-3_4170,151.25,wifi,lte,0.9834710743801653
L18A8YV4V9VC,PAI2SJOMEXTM,18103.25,18348.75,245.5,pedestrian_1-2_1313,260.75,lte,wifi,0.9415148609779482
TKINDCDXW6Z1,YB5TYR8MQQ90,18106.25,18344.5,238.25,pedestrian_1-1-pt_6139,257.75,wifi,lte,0.9243452958292919
