id1,id2,start_timestep,last_timestep,duration,user_id,ideal_duration,protocol_id1,protocol_id2,privacy_score
GJGJ54SCHLXP,IN29P3P2AE2X,18001.25,18091.5,90.25,pedestrian_1-2_1990,99.75,wifi,lte,0.9047619047619048
PLER7W33613Y,7S7VXI6QPAWH,18001.25,18092.5,91.25,pedestrian_1-1-pt_7251,99.75,wifi,lte,0.9147869674185464
GLVDUMS5NPM6,TKJS90SEYF1R,18001.25,18090.5,89.25,pedestrian_1-3_2374,99.75,wifi,lte,0.8947368421052632
IL0TOSIZATEO,GN60IZZHIYTO,18003.25,18095.0,91.75,pedestrian_1-1-pt_8637,97.75,wifi,lte,0.9386189258312021
C28ZQ3WSBD8V,HK2I9BRODF4N,18003.25,18052.5,49.25,pedestrian_1-3_2410,49.25,wifi,lte,1.0
R69UJBJY5O0T,ZURHIZ5IPCI8,18004.25,18095.25,91.0,pedestrian_1-1-veh_105,96.75,lte,wifi,0.9405684754521964
8MU0U68RWA1O,6UPMGCJC0Q4N,18006.25,18097.25,91.0,pedestrian_1-2_3838,94.75,wifi,lte,0.9604221635883905
ZDTCCJYPAD5E,S3BDRXV0BMWL,18008.25,18091.5,83.25,pedestrian_1-1-veh_886,92.75,wifi,lte,0.8975741239892183
IOPYL30H38RJ,77FGUYBO7J8M,18008.25,18096.75,88.5,pedestrian_1-3_4838,92.75,wifi,lte,0.954177897574124
QD861X3P8BAJ,O0UCADZHEO8I,18009.25,18100.75,91.5,pedestrian_1-1-pt_8795,91.75,lte,wifi,0.997275204359673
ZCFWUA30NN6P,1RXMBGSYLIQG,18010.25,18095.0,84.75,pedestrian_1-3_3320,90.75,wifi,lte,0.9338842975206612
9W368RTXZMIS,PUZHCDHOL0T7,18010.25,18081.75,71.5,pedestrian_1-3_2221,90.75,wifi,lte,0.7878787878787878
5C5NHSBFZVPF,RUIG7Q99KHNK,18011.25,18092.75,81.5,pedestrian_1-2_5770,89.75,lte,wifi,0.9080779944289693
