id1,id2,start_timestep,last_timestep,duration,ideal_duration,protocol_id1,user_id,protocol_id2,privacy_score
FHCNYEILW1LG,BXWVFKG0I0H7,18075.25,18100.0,24.75,24.75,wifi,pedestrian_1-1-pt_5139,lte,1.0
O4QLQW92D303,LMJUVGHR0BB1,18075.5,18100.0,24.5,98.75,wifi,pedestrian_1-1-pt_7251,lte,0.2481012658227848
89JJ2C9VNK2V,HOV2O18Z8KRE,18076.25,18100.0,23.75,23.75,wifi,pedestrian_1-1-pt_4472,lte,1.0
JR061ULOS5JH,VNF3UNEX6ZT1,18078.25,18100.0,21.75,21.75,wifi,pedestrian_1-3_3834,lte,1.0
0YGVNVMNUP1H,SV4BEWG3NMCJ,18078.25,18100.0,21.75,21.75,wifi,pedestrian_1-1-pt_255,lte,1.0
PT2LH59DDMIQ,QUSSDCZWW0TW,18074.25,18100.0,25.75,51.75,wifi,pedestrian_1-3_1790,lte,0.4975845410628019
XP7AKX21G1UP,IYSS8J1R4AF0,18082.0,18100.0,18.0,53.75,wifi,pedestrian_1-1-pt_6561,lte,0.33488372093023255
EZ0A5GRCV197,8YHOFO5QZXSL,18082.25,18100.0,17.75,68.75,wifi,pedestrian_1-1-pt_7054,lte,0.2581818181818182
N66I8JBKC311,RCN2OWEC2LQ3,18078.5,18100.0,21.5,85.75,wifi,pedestrian_1-1-pt_2382,lte,0.25072886297376096
71FJ84VVCBR9,YVGAIOU8OPCV,18082.5,18100.0,17.5,95.75,wifi,pedestrian_1-1-veh_105,lte,0.18276762402088773
MTTGIKHXAFFD,0G5F26UNKL0B,18083.25,18100.0,16.75,16.75,wifi,pedestrian_1-1-pt_2835,lte,1.0
4YI8W8JI2A15,L6KF26A5EVRG,18085.25,18100.0,14.75,14.75,wifi,pedestrian_1-2_4327,lte,1.0
ATUAT3KI8RKR,67EMZ4C0ZYQJ,18086.75,18100.0,13.25,45.75,wifi,pedestrian_1-1-pt_2498,lte,0.2896174863387978
VE9ZGM9QXKKR,7ODVRTFDIMSY,18083.5,18100.0,16.5,63.75,wifi,pedestrian_1-2_609,lte,0.25882352941176473
CSPHVX3LVXPT,AWP988HPF2SQ,18092.25,18100.0,7.75,7.75,wifi,pedestrian_1-2_1559,lte,1.0
KKFNJ7A2OK18,XVBQ4QK99EYU,18083.75,18100.0,16.25,96.75,wifi,pedestrian_1-1-pt_8637,lte,0.16795865633074936
W5ETXYIQ74QK,8VIVDXRUPV0K,18094.25,18100.0,5.75,5.75,wifi,pedestrian_1-1-pt_8618,lte,1.0
