id,start_timestep,last_timestep,duration,ideal_duration,user_id,protocol,privacy_score
R3P0K6VNPHPQ,18032.25,18097.25,65.0,67.75,pedestrian_1-1-veh_546,wifi,0.959409594095941
O6PCOUKM02ZI,18073.25,18100.0,26.75,26.75,pedestrian_1-1-veh_668,wifi,1.0
9E747FHAXKUJ,18070.25,18100.0,29.75,29.75,pedestrian_1-1-veh_790,wifi,1.0
HVZXGMWW92LN,18008.25,18059.5,51.25,91.75,pedestrian_1-1-veh_886,wifi,0.55858310626703
CSPHVX3LVXPT,18092.25,18100.0,7.75,7.75,pedestrian_1-2_1559,wifi,1.0
56SEUGDIRXOX,18064.25,18100.0,35.75,35.75,pedestrian_1-2_1741,wifi,1.0
702C0EX5SE8D,18041.25,18100.0,58.75,98.75,pedestrian_1-2_1990,wifi,0.5949367088607594
TJ62F9NH7QYI,18064.25,18100.0,35.75,35.75,pedestrian_1-2_2171,wifi,1.0
A76NPXJC93X7,18041.25,18100.0,58.75,58.75,pedestrian_1-2_285,wifi,1.0
SBM19H4MRHS8,18058.25,18067.5,9.25,9.25,pedestrian_1-2_3821,wifi,1.0
6BORO72LCB0U,18006.25,18071.5,65.25,93.75,pedestrian_1-2_3838,wifi,0.696
1JXWZMXNS6F3,18052.25,18100.0,47.75,47.75,pedestrian_1-2_3940,wifi,1.0
4YI8W8JI2A15,18085.25,18100.0,14.75,14.75,pedestrian_1-2_4327,wifi,1.0
UQ1PMGYCJBZ0,18069.25,18100.0,30.75,30.75,pedestrian_1-2_4454,wifi,1.0
CS7KFDURIMLB,18041.25,18065.0,23.75,23.75,pedestrian_1-2_4734,wifi,1.0
3ZT9EXLNSYHY,18041.5,18085.5,44.0,88.75,pedestrian_1-2_5770,wifi,0.49577464788732395
6D25UOTLYGZU,18061.25,18100.0,38.75,38.75,pedestrian_1-2_5791,wifi,1.0
W99EB1BW5WFY,18036.25,18086.75,50.5,63.75,pedestrian_1-2_609,wifi,0.792156862745098
NZGLQ5NQK4LJ,18052.25,18100.0,47.75,47.75,pedestrian_1-2_638,wifi,1.0
RYWSA330QBEC,18048.25,18078.25,30.0,51.75,pedestrian_1-3_1790,wifi,0.5797101449275363
IDWTVXDAP1J2,18031.25,18071.75,40.5,68.75,pedestrian_1-3_2018,wifi,0.5890909090909091
67295VJZ6XXT,18047.75,18091.25,43.5,89.75,pedestrian_1-3_2221,wifi,0.48467966573816157
03OLQ0US1Q2U,18001.25,18073.0,71.75,98.75,pedestrian_1-3_2374,wifi,0.7265822784810126
UK566DBPGW96,18003.25,18052.5,49.25,49.25,pedestrian_1-3_2410,wifi,1.0
ZJOQX4PY3I8K,18056.25,18100.0,43.75,43.75,pedestrian_1-3_2454,wifi,1.0
QIAK63QMGNX8,18060.25,18100.0,39.75,39.75,pedestrian_1-3_268,wifi,1.0
TQROI758NLMU,18048.5,18100.0,51.5,89.75,pedestrian_1-3_3320,wifi,0.5738161559888579
JR061ULOS5JH,18078.25,18100.0,21.75,21.75,pedestrian_1-3_3834,wifi,1.0
YPPBMHSUXOWC,18047.75,18100.0,52.25,91.75,pedestrian_1-3_4838,wifi,0.5694822888283378
K27IA5S5PI5E,18022.25,18100.0,77.75,77.75,pedestrian_1-3_5363,wifi,1.0
NSBABRPFA5E9,18027.25,18071.5,44.25,72.75,pedestrian_1-3_537,wifi,0.6082474226804123
FHM4RBMDF16X,18066.25,18100.0,33.75,33.75,pedestrian_1-3_90,wifi,1.0
BB44MOV2F0SU,18053.25,18100.0,46.75,46.75,pedestrian_2-1_1662,wifi,1.0
3386TQ2XL7X3,18031.25,18068.25,37.0,68.75,pedestrian_2-1_3320,wifi,0.5381818181818182
1939FLJYO5DL,18023.25,18067.5,44.25,76.75,pedestrian_2-1_3545,wifi,0.5765472312703583
8MQIB2ECXNDD,18072.25,18100.0,27.75,27.75,pedestrian_2-1_4638,wifi,1.0
